Blog	book	way	company	build	latest	episode	go	deep	into	talking	process	find	most	real	life	keep	reading	recently	someone	here	know	your	team	wrote	day	questions	asked	part	our	something	happened	me	entire	earlier	month	released	stop	running	work	getting	product	goes	small	great	do	being	than	might	if	want	there	no	been	made	even	human	may	around	five	open	support	well	every	single	read	am	my	won	tell	anyone	think	were	bad	m	g	would	among	them	re	sure	six	phone	put	out	call	twitter	he	order	all	hour	back	down	since	including	job	few	people	over	pay	less	now	self	successful	web	app	first	business	us	away	take	some	america	said	different	john	isn	same	thing	d	like	co	july	also	so	please	don	did	times	get	their	york	debate	important	who	never	while	trump	will	because	could	had	person	just	doing	morning	after	post	happy	moment	american	quite	perhaps	really	time	possible	everything	good	things	started	better	until	rather	years	though	does	amazon	love	much	give	off	page	last	through	site	still	his	ideas	system	aren	able	kind	according	yet	again	full	technology	these	going	actually	later	hard	feel	too	only	world	end	car	many	must	stuff	got	used	fact	ever	during	national	security	u	president	says	case	let	took	went	general	best	bit	money	past	its	science	room	whether	making	another	any	health	nice	side	care	industry	other	public	maybe	third	set	businesses	anything	power	along	then	need	long	enough	make	start	ll	pretty	mean	taking	others	nothing	stay	home	change	always	internet	should	media	why	ve	months	today	finally	least	building	friend	continue	myself	comes	nearly	seven	year	see	data	help	ask	right	say	two	under	second	where	found	group	watch	facebook	mind	man	ago	question	fix	tech	version	series	week	thanks	helping	friends	own	write	writing	posts	usually	original	those	cool	ten	list	price	high	easy	appeared	next	online	him	short	drive	share	favorite	try	use	official	cost	days	left	once	often	service	especially	else	photos	san	art	higher	looks	four	career	social	summer	experience	nbsp	doesn	matter	early	place	example	growing	thinking	true	probably	google	working	called	live	future	news	number	services	together	show	blog	idea	top	link	using	b	each	which	both	based	look	via	very	free	create	added	watching	fun	name	smart	living	feature	search	results	several	run	links	come	hand	simple	already	photo	hit	game	lost	seem	makes	design	street	view	content	tools	traffic	needs	old	play	tool	within	users	little	against	coming	brand	email	features	story	green	companies	far	report	talk	lot	water	large	video	shows	apple	line	almost	pro	point	amp	age	big	kids	movie	th	her	city	youtube	young	woman	known	she	remember	course	done	before	project	update	deal	seen	million	following	personal	ways	half	tv	night	family	network	turn	local	without	com	check	looking	key	music	bring	available	learn	event	couple	playing	itself	space	weeks	didn	places	problem	community	wanted	whole	learned	sense	face	trying	state	level	school	led	yes	thought	clear	program	takes	understand	become	helped	lives	couldn	wasn	between	everyone	light	means	such	cover	three	stories	party	spend	camera	hope	having	cnn	donald	house	article	minutes
Signal v. Noise	3	3	2	2	2	2	1	3	5	1	3	1	3	3	1	10	10	2	2	4	4	3	3	1	1	1	2	1	4	1	1	1	1	1	1	1	1	1	6	2	2	1	1	4	4	2	2	2	5	1	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	3	1	2	2	2	2	1	1	1	1	2	1	5	1	1	1	1	1	3	1	2	1	1	1	1	1	1	1	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eschaton	4	0	1	0	1	0	3	3	1	0	0	0	2	0	1	2	0	0	3	0	2	5	0	1	1	0	0	0	2	1	1	3	0	0	0	0	0	0	1	1	0	0	0	0	2	2	6	0	4	0	5	6	4	0	3	0	0	1	0	0	2	2	1	0	0	1	3	0	1	0	1	1	2	0	0	2	0	0	1	1	0	0	1	0	0	0	3	0	8	1	0	0	1	1	0	1	10	0	1	1	2	4	0	0	0	3	0	2	2	1	4	4	3	1	4	6	1	4	11	9	3	3	3	7	1	5	4	5	7	5	4	4	1	9	1	4	3	6	4	2	2	1	8	2	3	1	2	3	3	1	1	1	1	3	1	2	3	4	1	2	1	1	2	3	1	3	1	3	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	2	2	1	1	4	2	1	1	1	2	3	1	1	1	1	2	2	2	1	1	2	1	1	1	1	2	3	2	2	1	1	2	2	2	3	1	1	1	1	1	1	3	2	3	3	5	2	1	1	3	1	2	1	1	2	1	1	1	2	1	3	2	1	1	1	3	1	1	1	1	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
John Battelle's Search Blog	0	1	3	0	1	0	0	0	0	0	0	0	1	0	1	1	11	0	0	2	1	0	0	0	0	2	1	1	8	0	0	2	2	0	0	0	0	0	2	0	1	0	0	0	1	0	1	2	2	0	1	0	5	0	1	0	1	1	0	0	1	6	1	0	0	0	9	0	0	0	1	1	1	4	0	1	0	0	1	1	1	0	0	3	0	1	0	0	1	0	3	0	0	0	0	3	0	4	0	0	1	0	0	2	0	2	3	3	0	0	3	0	0	0	1	0	0	0	0	2	0	0	0	2	0	0	4	1	0	1	2	0	0	1	2	0	0	2	2	0	1	1	1	0	0	1	1	0	0	0	0	0	1	3	0	0	0	3	0	1	0	0	4	0	0	0	2	1	0	0	0	1	3	2	2	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	1	0	0	3	2	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	3	0	0	1	0	0	3	2	0	0	0	2	2	0	0	0	4	0	3	1	6	3	2	1	1	1	1	10	2	1	1	1	7	2	4	2	2	2	2	1	1	1	1	1	1	1	5	1	1	1	1	2	2	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Guy Kawasaki	0	0	3	0	0	0	0	0	1	0	0	0	2	3	0	0	0	1	1	2	0	3	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	5	0	2	0	3	1	5	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	1	0	2	1	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	1	3	1	0	2	3	0	0	0	1	0	2	0	0	1	1	0	0	0	1	3	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	1	1	2	1	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	8	1	1	2	10	2	2	2	1	5	1	1	1	1	2	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Google Blogoscoped	0	1	0	0	0	0	1	0	3	0	2	3	3	0	0	0	1	0	1	2	2	8	0	0	3	2	1	0	3	2	0	4	0	0	0	0	0	0	1	0	0	1	1	0	3	0	1	0	8	2	5	6	4	2	4	0	1	2	3	2	0	2	1	1	2	1	7	0	0	1	0	1	0	2	0	11	0	4	5	0	0	4	1	2	0	0	2	0	5	0	3	1	0	0	0	1	3	1	0	1	4	0	0	4	4	2	0	1	0	1	3	0	2	2	0	1	1	1	2	6	0	0	2	7	0	4	1	1	5	4	0	0	0	5	1	1	0	1	5	1	3	0	6	2	0	0	2	0	0	0	0	2	0	4	1	0	0	1	0	0	0	0	1	3	0	0	2	4	0	0	0	0	1	4	0	1	0	0	1	0	0	0	1	0	2	1	1	2	2	2	0	1	2	2	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	1	1	2	1	1	1	4	0	0	2	1	0	1	1	0	2	3	0	1	1	0	0	4	0	1	1	1	0	0	0	0	3	2	1	0	3	1	6	0	0	0	1	0	0	1	1	2	0	0	0	0	4	0	1	0	0	0	0	0	0	1	0	0	0	4	0	0	0	1	0	3	0	1	1	0	7	0	0	0	0	1	4	0	1	0	0	0	1	0	1	0	0	0	1	0	0	3	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	3	0	0	0	1	1	1	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	1	2	28	2	1	1	1	1	5	1	1	1	1	3	1	1	4	4	3	5	2	1	1	2	1	2	1	1	1	1	2	1	1	2	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RSS feed – Search Engine Watch	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	14	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	1	0	2	0	0	10	1	0	0	1	0	0	0	0	0	5	0	0	1	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	1	0	0	0	0	1	0	3	0	1	0	0	0	0	0	0	0	1	1	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	10	0	0	0	0	0	2	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	16	0	0	0	0	0	0	0	0	0	7	0	3	0	1	0	0	1	0	0	0	0	0	4	2	2	0	0	0	0	0	0	14	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	19	4	3	1	2	1	4	1	1	4	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
none	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABC News: BLOTTER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gigaom	0	1	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gizmodo	0	0	2	0	0	0	0	0	2	0	0	0	1	3	1	1	0	0	0	0	0	3	0	0	1	0	0	1	2	2	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	2	0	0	2	0	1	0	2	5	3	0	1	3	3	0	0	2	2	0	23	0	0	0	0	0	1	4	0	3	0	2	0	0	2	0	1	0	1	2	0	0	0	0	2	0	0	0	1	1	0	1	3	4	0	0	6	0	0	1	2	1	1	0	0	0	5	0	0	0	2	1	0	0	2	5	0	1	3	2	0	0	1	0	0	1	2	0	0	0	0	2	0	0	0	1	1	0	1	0	0	1	0	0	2	0	0	0	3	6	0	1	0	0	0	0	0	0	2	2	0	5	0	1	0	2	0	4	1	0	2	4	0	0	0	0	0	2	1	1	0	0	3	1	0	0	0	0	1	2	3	2	0	0	1	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	3	1	0	0	0	7	0	0	0	0	1	0	1	0	0	0	2	1	0	1	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	3	1	0	2	0	0	1	0	0	0	0	0	0	7	2	4	0	0	0	1	0	0	2	2	1	1	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	4	1	0	1	0	1	0	1	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	3	0	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	1	0	1	0	1	2	3	1	2	2	2	1	1	1	1	4	2	1	1	3	1	4	3	1	3	2	1	2	1	1	1	1	2	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
